Team,Over_Record,Over,Under,Total_+/-
Miami,89-62-10,58.90 ,41.10 ,1.1
Cincinnati,87-68-6,56.10 ,43.90 ,0.8
Philadelphia,87-70-6,55.40 ,44.60 ,1
Milwaukee,83-69-9,54.60 ,45.40 ,0.9
LA Dodgers,85-71-5,54.50 ,45.50 ,0.6
Seattle,83-70-8,54.30 ,45.80 ,0.9
Pittsburgh,80-69-9,53.70 ,46.30 ,0.9
Tampa Bay,82-71-8,53.60 ,46.40 ,1.1
Atlanta,83-73-6,53.20 ,46.80 ,0.4
NY Yankees,81-72-12,52.90 ,47.10 ,0.9
Detroit,79-71-10,52.70 ,47.30 ,0.9
Baltimore,81-73-7,52.60 ,47.40 ,0.8
San Diego,80-76-7,51.30 ,48.70 ,0.5
Colorado,83-79-7,51.20 ,48.80 ,0.4
Houston,79-76-7,51.00 ,49.00 ,0.6
NY Mets,77-75-8,50.70 ,49.30 ,0.7
St. Louis,75-75-10,50.00 ,50.00 ,0.6
LA Angels,75-81-8,48.10 ,51.90 ,0.7
Washington,72-78-11,48.00 ,52.00 ,0.2
Boston,80-88-6,47.60 ,52.40 ,-0.1
Cleveland,78-86-9,47.60 ,52.40 ,0
Chi Sox,68-80-11,46.00 ,54.10 ,0.2
SF Giants,71-84-6,45.80 ,54.20 ,0.2
Texas,66-79-14,45.50 ,54.50 ,0.5
Sacramento,70-84-8,45.50 ,54.60 ,0.5
Arizona,71-88-10,44.70 ,55.40 ,0.1
Minnesota,64-83-13,43.50 ,56.50 ,-0.1
Chi Cubs,66-86-10,43.40 ,56.60 ,0.1
Toronto,67-91-4,42.40 ,57.60 ,-0.2
Kansas City,62-88-11,41.30 ,58.70 ,-0.2
