Movement,# Games,Over Record,Over_PCT
8,60,30-30-0,50.00
7.5,72,37-34-1,52.10
7,86,50-35-1,58.80
6.5,111,60-50-1,54.50
6,141,77-61-3,55.80
5.5,181,107-73-1,59.40
5,232,110-120-2,47.80
4.5,346,180-163-3,52.50
4,416,236-178-2,57.00
3.5,574,286-279-9,50.60
3,742,339-391-12,46.40
2.5,885,460-412-13,52.80
2,1061,520-529-12,49.60
1.5,1286,626-644-16,49.30
1,1540,774-739-27,51.20
0.5,1636,796-817-23,49.30
0,1805,909-866-30,51.20
-0.5,1581,767-799-15,49.00
-1,1496,737-744-15,49.80
-1.5,1319,628-677-14,48.10
-2,1196,562-621-13,47.50
-2.5,960,470-472-18,49.90
-3,753,355-392-6,47.50
-3.5,668,328-326-14,50.20
-4,530,261-266-3,49.50
-4.5,412,195-205-12,48.80
-5,317,159-157-1,50.30
-5.5,227,111-112-4,49.80
-6,192,80-111-1,41.90
-6.5,152,80-71-1,53.00
-7,119,59-57-3,50.90
-7.5,81,43-38-0,53.10
-8,53,29-23-1,55.80
