Closing_Spread,Over/Under,Game_Count,Fav_Record,Fav_PCT,Dog_Record,Dog_PCT,Over_Record,Over_PCT,Under_Record,Under_PCT
7-9.5,0-185.5,570,290-270-10,51.80 ,270-290-10,48.20 ,272-293-5,48.10 ,293-272-5,51.90
7-9.5,186-190.5,545,282-255-8,52.50 ,255-282-8,47.50 ,266-273-6,49.40 ,273-266-6,50.60
7-9.5,191-195.5,681,322-347-12,48.10 ,347-322-12,51.90 ,325-349-7,48.20 ,349-325-7,51.80
7-9.5,196-200.5,623,305-302-16,50.20 ,302-305-16,49.80 ,310-309-4,50.10 ,309-310-4,49.90
7-9.5,201-205.5,614,299-300-15,49.90 ,300-299-15,50.10 ,293-310-11,48.60 ,310-293-11,51.40
7-9.5,206+,3113,1551-1505-57,50.80 ,1505-1551-57,49.20 ,1565-1505-43,51.00 ,1505-1565-43,49.00
3-6.5,0-185.5,1252,622-608-22,50.60 ,608-622-22,49.40 ,634-595-23,51.60 ,595-634-23,48.40
3-6.5,186-190.5,1104,529-548-27,49.10 ,548-529-27,50.90 ,546-544-14,50.10 ,544-546-14,49.90
3-6.5,191-195.5,1402,670-704-28,48.80 ,704-670-28,51.20 ,677-699-26,49.20 ,699-677-26,50.80
3-6.5,196-200.5,1208,584-610-14,48.90 ,610-584-14,51.10 ,597-597-14,50.00 ,597-597-14,50.00
3-6.5,201-205.5,1232,625-586-21,51.60 ,586-625-21,48.40 ,588-632-12,48.20 ,632-588-12,51.80
3-6.5,206+,5789,2890-2789-110,50.90 ,2789-2890-110,49.10 ,2871-2847-71,50.20 ,2847-2871-71,49.80
14+,0-185.5,53,24-28-1,46.20 ,28-24-1,53.80 ,21-32-0,39.60 ,32-21-0,60.40
14+,186-190.5,52,30-20-2,60.00 ,20-30-2,40.00 ,26-25-1,51.00 ,25-26-1,49.00
14+,191-195.5,57,27-29-1,48.20 ,29-27-1,51.80 ,22-32-3,40.70 ,32-22-3,59.30
14+,196-200.5,87,36-46-5,43.90 ,46-36-5,56.10 ,42-44-1,48.80 ,44-42-1,51.20
14+,201-205.5,79,33-43-3,43.40 ,43-33-3,56.60 ,37-39-3,48.70 ,39-37-3,51.30
14+,206+,590,279-297-14,48.40 ,297-279-14,51.60 ,300-282-8,51.50 ,282-300-8,48.50
10-13.5,0-185.5,265,125-132-8,48.60 ,132-125-8,51.40 ,129-129-7,50.00 ,129-129-7,50.00
10-13.5,186-190.5,277,131-141-5,48.20 ,141-131-5,51.80 ,143-133-1,51.80 ,133-143-1,48.20
10-13.5,191-195.5,343,154-180-9,46.10 ,180-154-9,53.90 ,164-175-4,48.40 ,175-164-4,51.60
10-13.5,196-200.5,334,177-149-8,54.30 ,149-177-8,45.70 ,181-151-2,54.50 ,151-181-2,45.50
10-13.5,201-205.5,343,140-198-5,41.40 ,198-140-5,58.60 ,161-180-2,47.20 ,180-161-2,52.80
10-13.5,206+,2056,993-1023-40,49.30 ,1023-993-40,50.70 ,1041-987-28,51.30 ,987-1041-28,48.70
1-2.5,0-185.5,517,249-263-5,48.60 ,263-249-5,51.40 ,267-243-7,52.40 ,243-267-7,47.60
1-2.5,186-190.5,436,228-202-6,53.00 ,202-228-6,47.00 ,227-203-6,52.80 ,203-227-6,47.20
1-2.5,191-195.5,597,309-273-15,53.10 ,273-309-15,46.90 ,294-300-3,49.50 ,300-294-3,50.50
1-2.5,196-200.5,521,249-263-9,48.60 ,263-249-9,51.40 ,253-262-6,49.10 ,262-253-6,50.90
1-2.5,201-205.5,560,282-271-7,51.00 ,271-282-7,49.00 ,290-263-7,52.40 ,263-290-7,47.60
1-2.5,206+,2826,1401-1394-31,50.10 ,1394-1401-31,49.90 ,1322-1473-31,47.30 ,1473-1322-31,52.70
